AAPL,AMZN,GOOG,MSFT
184.7349853515625,149.92999267578125,139.06033325195312,368.11724853515625
183.3517608642578,148.47000122070312,139.85748291015625,367.8492431640625
181.02317810058594,144.57000732421875,137.5457763671875,365.208984375
180.2967071533203,145.24000549316406,136.8981170654297,365.0204162597656
184.65536499023438,149.10000610351562,140.02685546875,371.9089050292969
184.23741149902344,151.3699951171875,142.0496063232422,373.0007629394531
185.28228759765625,153.72999572753906,143.28517150878906,379.9289245605469
184.68521118164062,155.17999267578125,143.15562438964844,381.775146484375
185.01361083984375,154.6199951171875,143.72360229492188,385.5866394042969
182.73477172851562,153.16000366210938,143.5641632080078,387.37322998046875
181.78939819335938,151.7100067138672,142.37841796875,386.5791931152344
187.71041870117188,153.5,144.4709014892578,390.946533203125
190.62611389160156,155.33999633789062,147.44021606445312,395.7109680175781
192.9447479248047,154.77999877929688,147.18118286132812,393.56695556640625
194.22845458984375,156.02000427246094,148.14768981933594,395.939208984375
193.55177307128906,156.8699951171875,149.81170654296875,399.572021484375
193.22340393066406,157.75,153.08993530273438,401.8648986816406
191.48193359375,159.1199951171875,153.23939514160156,400.9318542480469
190.7952880859375,161.25999450683594,154.28564453125,406.67889404296875
187.12326049804688,159.0,152.50205993652344,405.5572814941406
183.5010223388672,155.1999969482422,141.29232788085938,394.6290283203125
185.94903564453125,159.27999877929688,142.19906616210938,400.7829895019531
184.9439697265625,171.80999755859375,143.02609252929688,408.16778564453125
186.76502990722656,170.30999755859375,144.41110229492188,402.6391296386719
188.37713623046875,169.14999389648438,144.889404296875,402.48028564453125
188.4866180419922,170.52999877929688,146.15484619140625,410.97674560546875
187.40191650390625,169.83999633789062,146.6929168701172,411.03631591796875
188.1691436767578,174.4499969482422,149.6821746826172,417.4284973144531
186.4752655029297,172.33999633789062,148.197509765625,412.17779541015625
184.37286376953125,168.63999938964844,145.845947265625,403.30413818359375
183.48606872558594,170.97999572753906,146.6132049560547,407.20220947265625
183.19712829589844,169.8000030517578,143.42466735839844,404.2886047363281
181.65269470214844,169.50999450683594,141.25245666503906,401.8025817871094
180.90541076660156,167.0800018310547,141.69088745117188,400.5397033691406
181.66268920898438,168.58999633789062,143.32501220703125,399.9330749511719
183.70529174804688,174.5800018310547,144.7997283935547,409.35015869140625
181.86195373535156,174.99000549316406,144.7698211669922,408.0474853515625
180.50686645507812,174.72999572753906,138.25323486328125,405.2631530761719
181.9715576171875,173.5399932861328,139.59841918945312,405.2034606933594
180.7659149169922,173.16000366210938,136.93797302246094,405.4421081542969
180.09832763671875,176.75999450683594,139.27955627441406,411.3290710449219
179.0122833251953,178.22000122070312,137.5856475830078,413.17864990234375
174.4687042236328,177.5800018310547,133.71954345703125,412.6018981933594
169.5066680908203,174.1199951171875,133.30104064941406,400.40045166015625
168.51025390625,173.50999450683594,132.08538818359375,399.8435974121094
168.3907012939453,176.82000732421875,134.7558135986328,406.8542175292969
170.1144561767578,175.35000610351562,135.8020477294922,403.95050048828125
172.12718200683594,171.9600067138672,138.4425506591797,402.260009765625
172.60543823242188,175.38999938964844,139.12013244628906,412.9598693847656
170.5130157470703,176.55999755859375,140.26600646972656,412.7809143066406
172.37628173828125,178.75,143.82322692871094,422.8443603515625
171.99765014648438,174.4199981689453,141.66099548339844,414.0935363769531
173.09368896484375,174.47999572753906,147.9484100341797,414.9884948730469
175.44515991210938,175.89999389648438,147.39041137695312,419.0556335449219
178.0258331298828,178.14999389648438,149.14410400390625,422.85430908203125
170.7521514892578,178.14999389648438,148.2074737548828,426.97119140625
171.65887451171875,178.8699951171875,151.2266387939453,426.3446960449219
170.23403930664062,179.7100067138672,150.6088409423828,420.4975280761719
169.09814453125,178.3000030517578,151.15687561035156,419.2942810058594
172.68516540527344,179.8300018310547,151.39601135253906,419.0755310058594
170.86175537109375,180.3800048828125,151.71487426757812,418.3695068359375
169.41697692871094,180.97000122070312,155.939697265625,422.1979675292969
168.23126220703125,180.69000244140625,155.3119354248047,419.0854797363281
169.03834533691406,182.41000366210938,155.81015014648438,418.10101318359375
168.2113494873047,180.0,151.39601135253906,415.54534912109375
168.96861267089844,185.07000732421875,153.3888702392578,423.1426696777344
167.84268188476562,185.19000244140625,155.5809783935547,422.2178649902344
169.0582733154297,185.6699981689453,157.57382202148438,423.8984375
167.1750946044922,185.9499969482422,157.09555053710938,420.8952941894531
174.40892028808594,189.0500030517578,160.21434020996094,425.5391845703125
175.91348266601562,186.1300048828125,158.6200714111328,419.5428771972656
172.0673828125,183.6199951171875,155.77029418945312,411.3290710449219
168.7693328857422,183.32000732421875,155.44149780273438,412.2637634277344
167.39430236816406,181.27999877929688,156.31834411621094,409.5390930175781
166.43775939941406,179.22000122070312,156.89627075195312,402.01141357421875
164.40512084960938,174.6300048828125,155.16249084472656,396.8901672363281
165.24208068847656,177.22999572753906,157.38450622558594,398.7198791503906
166.2982635498047,179.5399932861328,159.34744262695312,405.29296875
168.41062927246094,176.58999633789062,160.5232391357422,406.77459716796875
169.27749633789062,173.6699981689453,157.38450622558594,396.81060791015625
168.6896209716797,179.6199951171875,173.0681610107422,404.0499572753906
172.8744659423828,180.9600067138672,167.29885864257812,400.0026550292969
169.71591186523438,175.0,164.05055236816406,387.15484619140625
168.6896209716797,179.0,164.97723388671875,392.7335510253906
172.4061737060547,184.72000122070312,167.8568878173828,395.6173095703125
182.71884155273438,186.2100067138672,168.3849639892578,404.3880310058594
181.0548858642578,188.6999969482422,169.2219696044922,411.2296142578125
181.7423858642578,188.75999450683594,172.36068725585938,407.0530700683594
182.08116149902344,188.0,170.5471954345703,408.246337890625
183.9045867919922,189.5,170.9656982421875,410.0164489746094
182.63743591308594,187.47999572753906,169.68031311035156,412.42291259765625
185.86013793945312,186.57000732421875,170.2881317138672,411.4085998535156
187.00755310058594,187.07000732421875,171.31443786621094,414.23272705078125
189.2924041748047,185.99000549316406,173.25747680664062,421.47515869140625
189.41212463378906,183.6300048828125,174.8019256591797,419.39306640625
189.44204711914062,184.6999969482422,176.65525817871094,418.61602783203125
190.6094207763672,183.5399932861328,177.8210906982422,423.7265930175781
191.91647338867188,183.14999389648438,178.89720153808594,427.41253662109375
190.4697265625,183.1300048828125,177.3627166748047,428.8869323730469
186.45880126953125,181.0500030517578,174.4332275390625,425.3802795410156
189.5518035888672,180.75,175.69869995117188,428.5283203125
189.56178283691406,182.14999389648438,177.3826446533203,428.6877136230469
189.86111450195312,182.02000427246094,176.76486206054688,427.5420837402344
190.85885620117188,179.32000732421875,172.93861389160156,413.0970764160156
191.81668090820312,176.44000244140625,173.33718872070312,413.5553283691406
193.59268188476562,178.33999633789062,173.79554748535156,411.951416015625
193.91195678710938,179.33999633789062,174.50299072265625,414.49176025390625
195.42852783203125,181.27999877929688,176.43605041503906,422.4016418457031
194.0416717529297,185.0,177.7114715576172,422.90966796875
196.44622802734375,184.3000030517578,175.32005310058594,422.24224853515625
192.68472290039062,187.05999755859375,176.19790649414062,426.2469787597656
206.68310546875,187.22999572753906,177.75408935546875,431.0387268066406
212.58978271484375,186.88999938964844,179.1207275390625,439.386962890625
213.75714111328125,183.8300018310547,176.30764770507812,439.9049987792969
212.01107788085938,183.66000366210938,177.9336395263672,440.8912353515625
216.18165588378906,184.05999755859375,178.34263610839844,446.6692199707031
213.8070068359375,182.80999755859375,176.01834106445312,444.6469421386719
209.2073974609375,186.10000610351562,177.2752685546875,444.0093688964844
207.02235412597656,189.0800018310547,179.81900024414062,448.0738830566406
207.67088317871094,185.57000732421875,180.34771728515625,445.9718933105469
208.59878540039062,186.33999633789062,185.12600708007812,449.23944091796875
212.7693634033203,193.61000061035156,184.91650390625,450.4448547363281
213.61746215820312,197.85000610351562,186.4028778076172,451.13226318359375
210.14527893066406,193.25,182.97128295898438,445.254638671875
216.261474609375,197.1999969482422,184.03868103027344,454.9975280761719
219.77354431152344,200.0,186.1534881591797,457.537841796875
221.0506591796875,197.58999633789062,186.93157958984375,459.0221862792969
225.82984924316406,200.0,191.4904022216797,465.78643798828125
227.30653381347656,199.2899932861328,190.01400756835938,464.471435546875
228.16458129882812,199.33999633789062,189.97410583496094,457.796875
232.45489501953125,199.7899932861328,192.18869018554688,464.4814147949219
227.05709838867188,195.0500030517578,186.841796875,452.9752502441406
230.0203857421875,194.49000549316406,186.3230743408203,451.8295593261719
233.87168884277344,192.72000122070312,187.7296142578125,452.2380065917969
234.29074096679688,193.02000427246094,185.04620361328125,447.8148498535156
228.3641357421875,187.92999267578125,182.17323303222656,441.8376159667969
223.6747283935547,183.75,178.7815704345703,438.6995849609375
223.80442810058594,183.1300048828125,178.95114135742188,435.4519348144531
223.45523071289062,182.5500030517578,182.90145874023438,441.2598571777344
224.5028533935547,186.41000366210938,183.15086364746094,443.16259765625
218.0474395751953,180.8300018310547,173.94342041015625,427.2731018066406
216.99981689453125,179.85000610351562,168.74618530273438,416.8128967285156
217.46875,182.5,168.267333984375,423.6568298339844
217.7481231689453,183.1999969482422,170.71136474609375,425.111328125
218.30685424804688,181.7100067138672,171.43955993652344,421.3157958984375
221.5794677734375,186.97999572753906,172.72640991210938,416.7630920410156
217.8678436279297,184.07000732421875,172.0281219482422,415.52777099609375
219.36447143554688,167.89999389648438,167.98802185058594,406.9405212402344
208.79833984375,161.02000427246094,160.2470245361328,393.6510925292969
206.762939453125,161.92999267578125,160.14724731445312,398.09417724609375
209.34710693359375,162.77000427246094,160.3567352294922,396.91864013671875
212.8292236328125,165.8000030517578,163.43917846679688,401.1625061035156
215.7526397705078,166.94000244140625,164.9853973388672,404.4798583984375
